"learner_id","classif.acc","classif.auc","classif.npv"
"randomForest",0.7824093497153132,0.8727260531922758,0.7499105419715023
"logistic",0.7725601837978223,0.8300555392604599,0.7199729670087167
"decisionTree",0.7838577564678854,0.8273769016710542,0.7570913469055884
"kknn",0.7245729697332934,0.7927736210772404,0.6526318845367953
